rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,texture_revert,probe_texture_history,probe_time,puff_event,reward_event
10.0,25.0,29.0,,,,,,,,,
19.0,19.0,29.0,,,,,,,,,
12.0,28.0,31.0,,,,,,,,,
17.0,29.0,30.0,,,,,,,,,
17.0,22.0,30.0,,,,,,,,,
20.0,33.0,30.0,,,,,,,,,
13.0,26.0,31.0,,,,,,,,,
11.0,31.0,29.0,,,,,,,,,
17.0,23.0,27.0,,,,,,,,,
14.0,28.0,33.0,,,,,,,,,
15.0,25.0,30.0,,,,,,,,,
20.0,32.0,29.0,,,,,,,,,
13.0,27.0,33.0,,,,,,,,,
18.0,26.0,32.0,,,,,,,,,
15.0,27.0,29.0,,,,,,,,,
11.0,21.0,32.0,,,,,,,,,
14.0,24.0,28.0,,,,,,,,,
15.0,34.0,27.0,,,,,,,,,
14.0,32.0,30.0,,,,,,,,,
15.0,25.0,29.0,,,,,,,,,
11.0,31.0,33.0,,,,,,,,,
9.0,23.0,32.0,,,,,,,,,
9.0,21.0,30.0,,,,,,,,,
17.0,22.0,33.0,,,,,,,,,
18.0,28.0,27.0,,,,,,,,,
13.0,26.0,31.0,,,,,,,,,
18.0,27.0,32.0,,,,,,,,,
13.0,30.0,28.0,,,,,,,,,
18.0,25.0,32.0,,,,,,,,,
13.0,21.0,26.0,,,,,,,,,
18.0,14.0,30.0,,,,,,,,,
11.0,32.0,30.0,,,,,,,,,
12.0,24.0,30.0,,,,,,,,,
20.0,24.0,31.0,,,,,,,,,
17.0,23.0,29.0,,,,,,,,,
9.0,24.0,28.0,,,,,,,,,
12.0,27.0,31.0,,,,,,,,,
17.0,21.0,30.0,,,,,,,,,
21.0,15.0,32.0,,,,,,,,,
12.0,33.0,32.0,,,,,,,,,
18.0,25.0,30.0,,,,,,,,,
17.0,23.0,28.0,,,,,,,,,
22.0,21.0,31.0,,,,,,,,,
23.0,22.0,31.0,,,,,,,,,
11.0,26.0,29.0,,,,,,,,,
17.0,31.0,32.0,,,,,,,,,
8.0,25.0,32.0,,,,,,,,,
17.0,29.0,33.0,,,,,,,,,
18.0,32.0,31.0,,,,,,,,,
16.0,25.0,31.0,,,,,,,,,
12.0,25.0,29.0,,,,,,,,,
24.0,19.0,30.0,,,,,,,,,
17.0,36.0,31.0,,,,,,,,,
9.0,24.0,29.0,,,,,,,,,
12.0,19.0,30.0,,,,,,,,,
12.0,30.0,28.0,,,,,,,,,
15.0,17.0,29.0,,,,,,,,,
28.0,28.0,33.0,,,,,,,,,
13.0,23.0,29.0,,,,,,,,,
13.0,24.0,27.0,,,,,,,,,
13.0,22.0,26.0,,,,,,,,,
20.0,14.0,33.0,,,,,,,,,
12.0,30.0,29.0,,,,,,,,,
14.0,31.0,30.0,,,,,,,,,
14.0,25.0,28.0,,,,,,,,,
18.0,17.0,29.0,,,,,,,,,
8.0,33.0,26.0,,,,,,,,,
11.0,24.0,28.0,,,,,,,,,
10.0,31.0,27.0,,,,,,,,,
19.0,23.0,30.0,,,,,,,,,
20.0,23.0,34.0,,,,,,,,,
12.0,30.0,29.0,,,,,,,,,
13.0,28.0,30.0,,,,,,,,,
20.0,23.0,29.0,,,,,,,,,
20.0,19.0,29.0,,,,,,,,,
16.0,26.0,30.0,,,,,,,,,
18.0,35.0,30.0,,,,,,,,,
12.0,30.0,29.0,,,,,,,,,
17.0,30.0,30.0,,,,,,,,,
17.0,23.0,32.0,,,,,,,,,
22.0,25.0,29.0,,,,,,,,,
16.0,26.0,33.0,,,,,,,,,
13.0,28.0,30.0,,,,,,,,,
13.0,32.0,30.0,,,,,,,,,
14.0,20.0,32.0,,,,,,,,,
13.0,28.0,29.0,,,,,,,,,
15.0,25.0,29.0,,,,,,,,,
9.0,23.0,29.0,,,,,,,,,
10.0,20.0,28.0,,,,,,,,,
10.0,36.0,31.0,,,,,,,,,
12.0,25.0,31.0,,,,,,,,,
21.0,27.0,27.0,,,,,,,,,
10.0,29.0,32.0,,,,,,,,,
17.0,27.0,33.0,,,,,,,,,
21.0,27.0,30.0,,,,,,,,,
19.0,35.0,28.0,,,,,,,,,
15.0,39.0,29.0,,,,,,,,,
17.0,18.0,30.0,,,,,,,,,
12.0,35.0,29.0,,,,,,,,,
13.0,26.0,31.0,,,,,,,,,
12.0,27.0,32.0,,,,,,,,,
14.0,27.0,29.0,,,,,,,,,
13.0,22.0,31.0,,,,,,,,,
17.0,21.0,28.0,,,,,,,,,
23.0,27.0,35.0,,,,,,,,,
16.0,29.0,27.0,,,,,,,,,
10.0,14.0,27.0,,,,,,,,,
27.0,25.0,27.0,,,,,,,,,
12.0,26.0,31.0,,,,,,,,,
19.0,21.0,29.0,,,,,,,,,
