rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,texture_revert,probe_texture_history,probe_time,puff_event,reward_event
27.0,10.0,34.0,,,,,,,,,
21.0,12.0,28.0,,,,,,,,,
26.0,9.0,31.0,,,,,,,,,
17.0,9.0,31.0,,,,,,,,,
35.0,8.0,34.0,,,,,,,,,
27.0,7.0,29.0,,,,,,,,,
18.0,9.0,28.0,,,,,,,,,
27.0,9.0,32.0,,,,,,,,,
25.0,6.0,29.0,,,,,,,,,
27.0,8.0,32.0,,,,,,,,,
25.0,11.0,29.0,,,,,,,,,
24.0,10.0,29.0,,,,,,,,,
27.0,7.0,31.0,,,,,,,,,
26.0,10.0,31.0,,,,,,,,,
31.0,10.0,33.0,,,,,,,,,
20.0,11.0,30.0,,,,,,,,,
24.0,8.0,31.0,,,,,,,,,
26.0,7.0,35.0,,,,,,,,,
30.0,13.0,31.0,,,,,,,,,
30.0,11.0,30.0,,,,,,,,,
22.0,13.0,30.0,,,,,,,,,
24.0,11.0,31.0,,,,,,,,,
22.0,8.0,30.0,,,,,,,,,
29.0,9.0,30.0,,,,,,,,,
25.0,11.0,32.0,,,,,,,,,
22.0,12.0,28.0,,,,,,,,,
30.0,9.0,29.0,,,,,,,,,
20.0,8.0,29.0,,,,,,,,,
20.0,10.0,27.0,,,,,,,,,
31.0,9.0,31.0,,,,,,,,,
32.0,6.0,29.0,,,,,,,,,
29.0,12.0,30.0,,,,,,,,,
19.0,9.0,32.0,,,,,,,,,
30.0,6.0,28.0,,,,,,,,,
27.0,14.0,32.0,,,,,,,,,
21.0,11.0,27.0,,,,,,,,,
28.0,11.0,32.0,,,,,,,,,
27.0,6.0,30.0,,,,,,,,,
31.0,13.0,31.0,,,,,,,,,
