rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,texture_revert,probe_texture_history,probe_time,puff_event,reward_event
20.0,12.0,30.0,24.0,assets/reward_mean100.jpg,210.3,11.0,223.13,assets/grating_mean100.jpg,224.14,,
21.0,13.0,27.0,25.0,,,,,,,,
26.0,9.0,29.0,,,,,,,,,
26.0,11.0,30.0,,,,,,,,,
26.0,8.0,27.0,,,,,,,,,
30.0,10.0,28.0,,,,,,,,,
23.0,6.0,31.0,,,,,,,,,
22.0,11.0,28.0,,,,,,,,,
20.0,7.0,30.0,,,,,,,,,
30.0,8.0,29.0,,,,,,,,,
31.0,9.0,32.0,,,,,,,,,
24.0,10.0,31.0,,,,,,,,,
19.0,11.0,31.0,,,,,,,,,
25.0,9.0,29.0,,,,,,,,,
26.0,8.0,27.0,,,,,,,,,
25.0,10.0,28.0,,,,,,,,,
17.0,10.0,28.0,,,,,,,,,
20.0,13.0,33.0,,,,,,,,,
31.0,9.0,30.0,,,,,,,,,
15.0,8.0,29.0,,,,,,,,,
27.0,8.0,29.0,,,,,,,,,
31.0,8.0,27.0,,,,,,,,,
24.0,12.0,28.0,,,,,,,,,
29.0,9.0,29.0,,,,,,,,,
34.0,12.0,31.0,,,,,,,,,
21.0,8.0,28.0,,,,,,,,,
24.0,5.0,29.0,,,,,,,,,
24.0,11.0,30.0,,,,,,,,,
28.0,14.0,31.0,,,,,,,,,
32.0,12.0,27.0,,,,,,,,,
22.0,12.0,29.0,,,,,,,,,
24.0,12.0,33.0,,,,,,,,,
25.0,10.0,27.0,,,,,,,,,
27.0,10.0,28.0,,,,,,,,,
26.0,11.0,30.0,,,,,,,,,
19.0,11.0,33.0,,,,,,,,,
30.0,11.0,29.0,,,,,,,,,
19.0,10.0,31.0,,,,,,,,,
28.0,9.0,28.0,,,,,,,,,
28.0,12.0,27.0,,,,,,,,,
25.0,12.0,33.0,,,,,,,,,
22.0,8.0,33.0,,,,,,,,,
19.0,8.0,31.0,,,,,,,,,
21.0,11.0,31.0,,,,,,,,,
29.0,9.0,29.0,,,,,,,,,
22.0,10.0,31.0,,,,,,,,,
24.0,11.0,29.0,,,,,,,,,
35.0,9.0,35.0,,,,,,,,,
21.0,10.0,30.0,,,,,,,,,
19.0,10.0,30.0,,,,,,,,,
25.0,13.0,29.0,,,,,,,,,
25.0,11.0,30.0,,,,,,,,,
29.0,8.0,30.0,,,,,,,,,
37.0,11.0,27.0,,,,,,,,,
26.0,11.0,29.0,,,,,,,,,
25.0,6.0,31.0,,,,,,,,,
27.0,15.0,28.0,,,,,,,,,
24.0,8.0,30.0,,,,,,,,,
27.0,9.0,29.0,,,,,,,,,
24.0,10.0,29.0,,,,,,,,,
30.0,9.0,30.0,,,,,,,,,
25.0,8.0,28.0,,,,,,,,,
33.0,15.0,30.0,,,,,,,,,
26.0,9.0,30.0,,,,,,,,,
28.0,12.0,29.0,,,,,,,,,
25.0,11.0,26.0,,,,,,,,,
22.0,11.0,31.0,,,,,,,,,
31.0,10.0,27.0,,,,,,,,,
25.0,13.0,30.0,,,,,,,,,
26.0,11.0,29.0,,,,,,,,,
20.0,8.0,27.0,,,,,,,,,
26.0,11.0,29.0,,,,,,,,,
22.0,11.0,30.0,,,,,,,,,
20.0,12.0,29.0,,,,,,,,,
18.0,7.0,37.0,,,,,,,,,
25.0,11.0,29.0,,,,,,,,,
27.0,12.0,27.0,,,,,,,,,
30.0,10.0,29.0,,,,,,,,,
20.0,7.0,28.0,,,,,,,,,
27.0,8.0,32.0,,,,,,,,,
20.0,9.0,25.0,,,,,,,,,
29.0,11.0,30.0,,,,,,,,,
34.0,7.0,32.0,,,,,,,,,
25.0,10.0,29.0,,,,,,,,,
21.0,12.0,32.0,,,,,,,,,
15.0,11.0,34.0,,,,,,,,,
24.0,14.0,29.0,,,,,,,,,
12.0,10.0,30.0,,,,,,,,,
26.0,11.0,32.0,,,,,,,,,
28.0,7.0,27.0,,,,,,,,,
30.0,11.0,31.0,,,,,,,,,
34.0,10.0,30.0,,,,,,,,,
29.0,11.0,28.0,,,,,,,,,
28.0,8.0,29.0,,,,,,,,,
24.0,10.0,28.0,,,,,,,,,
26.0,10.0,28.0,,,,,,,,,
17.0,10.0,33.0,,,,,,,,,
27.0,13.0,32.0,,,,,,,,,
26.0,7.0,30.0,,,,,,,,,
24.0,10.0,30.0,,,,,,,,,
17.0,9.0,29.0,,,,,,,,,
29.0,10.0,31.0,,,,,,,,,
24.0,12.0,32.0,,,,,,,,,
23.0,9.0,28.0,,,,,,,,,
39.0,12.0,33.0,,,,,,,,,
30.0,9.0,26.0,,,,,,,,,
25.0,12.0,29.0,,,,,,,,,
25.0,10.0,34.0,,,,,,,,,
21.0,9.0,26.0,,,,,,,,,
28.0,11.0,34.0,,,,,,,,,
17.0,9.0,32.0,,,,,,,,,
17.0,8.0,30.0,,,,,,,,,
18.0,12.0,30.0,,,,,,,,,
20.0,12.0,31.0,,,,,,,,,
29.0,11.0,28.0,,,,,,,,,
31.0,12.0,29.0,,,,,,,,,
18.0,9.0,30.0,,,,,,,,,
33.0,11.0,29.0,,,,,,,,,
32.0,11.0,32.0,,,,,,,,,
21.0,10.0,28.0,,,,,,,,,
25.0,7.0,31.0,,,,,,,,,
24.0,8.0,32.0,,,,,,,,,
25.0,12.0,28.0,,,,,,,,,
20.0,10.0,31.0,,,,,,,,,
21.0,12.0,31.0,,,,,,,,,
20.0,15.0,30.0,,,,,,,,,
23.0,9.0,32.0,,,,,,,,,
22.0,8.0,33.0,,,,,,,,,
22.0,7.0,30.0,,,,,,,,,
18.0,9.0,28.0,,,,,,,,,
31.0,9.0,31.0,,,,,,,,,
33.0,9.0,32.0,,,,,,,,,
29.0,6.0,27.0,,,,,,,,,
24.0,11.0,29.0,,,,,,,,,
23.0,12.0,32.0,,,,,,,,,
22.0,10.0,25.0,,,,,,,,,
27.0,13.0,32.0,,,,,,,,,
30.0,8.0,28.0,,,,,,,,,
18.0,9.0,28.0,,,,,,,,,
35.0,13.0,32.0,,,,,,,,,
20.0,11.0,31.0,,,,,,,,,
32.0,7.0,32.0,,,,,,,,,
30.0,9.0,30.0,,,,,,,,,
23.0,12.0,28.0,,,,,,,,,
22.0,12.0,30.0,,,,,,,,,
30.0,12.0,32.0,,,,,,,,,
28.0,8.0,28.0,,,,,,,,,
24.0,10.0,30.0,,,,,,,,,
22.0,12.0,30.0,,,,,,,,,
18.0,15.0,33.0,,,,,,,,,
21.0,11.0,31.0,,,,,,,,,
31.0,11.0,30.0,,,,,,,,,
24.0,10.0,30.0,,,,,,,,,
23.0,12.0,29.0,,,,,,,,,
14.0,8.0,31.0,,,,,,,,,
23.0,11.0,33.0,,,,,,,,,
36.0,11.0,26.0,,,,,,,,,
26.0,8.0,28.0,,,,,,,,,
21.0,13.0,30.0,,,,,,,,,
33.0,7.0,30.0,,,,,,,,,
30.0,8.0,32.0,,,,,,,,,
19.0,6.0,31.0,,,,,,,,,
30.0,10.0,27.0,,,,,,,,,
26.0,9.0,30.0,,,,,,,,,
23.0,8.0,28.0,,,,,,,,,
29.0,10.0,29.0,,,,,,,,,
21.0,10.0,28.0,,,,,,,,,
21.0,9.0,30.0,,,,,,,,,
28.0,11.0,28.0,,,,,,,,,
30.0,11.0,32.0,,,,,,,,,
24.0,10.0,28.0,,,,,,,,,
26.0,9.0,30.0,,,,,,,,,
17.0,9.0,29.0,,,,,,,,,
21.0,10.0,29.0,,,,,,,,,
31.0,11.0,32.0,,,,,,,,,
29.0,9.0,29.0,,,,,,,,,
24.0,11.0,28.0,,,,,,,,,
31.0,10.0,30.0,,,,,,,,,
25.0,12.0,28.0,,,,,,,,,
33.0,8.0,27.0,,,,,,,,,
28.0,5.0,31.0,,,,,,,,,
38.0,9.0,34.0,,,,,,,,,
23.0,8.0,32.0,,,,,,,,,
25.0,12.0,27.0,,,,,,,,,
28.0,10.0,33.0,,,,,,,,,
19.0,8.0,28.0,,,,,,,,,
28.0,12.0,29.0,,,,,,,,,
25.0,9.0,27.0,,,,,,,,,
26.0,10.0,30.0,,,,,,,,,
34.0,11.0,27.0,,,,,,,,,
27.0,14.0,30.0,,,,,,,,,
25.0,9.0,27.0,,,,,,,,,
31.0,10.0,33.0,,,,,,,,,
25.0,13.0,27.0,,,,,,,,,
22.0,8.0,29.0,,,,,,,,,
26.0,13.0,30.0,,,,,,,,,
22.0,10.0,29.0,,,,,,,,,
22.0,11.0,26.0,,,,,,,,,
18.0,12.0,30.0,,,,,,,,,
27.0,11.0,35.0,,,,,,,,,
30.0,9.0,32.0,,,,,,,,,
21.0,10.0,31.0,,,,,,,,,
21.0,12.0,31.0,,,,,,,,,
26.0,13.0,28.0,,,,,,,,,
26.0,9.0,35.0,,,,,,,,,
18.0,11.0,29.0,,,,,,,,,
31.0,7.0,32.0,,,,,,,,,
25.0,8.0,31.0,,,,,,,,,
27.0,11.0,29.0,,,,,,,,,
24.0,11.0,30.0,,,,,,,,,
32.0,8.0,30.0,,,,,,,,,
25.0,9.0,32.0,,,,,,,,,
28.0,7.0,29.0,,,,,,,,,
27.0,9.0,30.0,,,,,,,,,
17.0,9.0,29.0,,,,,,,,,
27.0,10.0,30.0,,,,,,,,,
31.0,10.0,29.0,,,,,,,,,
22.0,10.0,31.0,,,,,,,,,
23.0,11.0,32.0,,,,,,,,,
19.0,10.0,30.0,,,,,,,,,
29.0,13.0,30.0,,,,,,,,,
21.0,10.0,30.0,,,,,,,,,
29.0,6.0,29.0,,,,,,,,,
34.0,11.0,30.0,,,,,,,,,
30.0,9.0,31.0,,,,,,,,,
37.0,11.0,28.0,,,,,,,,,
24.0,8.0,31.0,,,,,,,,,
31.0,12.0,31.0,,,,,,,,,
23.0,10.0,31.0,,,,,,,,,
28.0,11.0,27.0,,,,,,,,,
28.0,10.0,30.0,,,,,,,,,
24.0,9.0,28.0,,,,,,,,,
19.0,13.0,32.0,,,,,,,,,
25.0,11.0,29.0,,,,,,,,,
